TABLA: ZEST_REL_FORMACION Estructura relaciones objetos formación
PERNR;PERSNO;N;000008;Número de personal
ENAME;EMNAM;C;000040;Nombre editado del empleado o candidato
CURSO;HROBJID;N;000008;ID objeto
CURSOT;STEXT;C;000040;Denominación de objeto
TACTO;HROBJID;N;000008;ID objeto
TACTOT;STEXT;C;000040;Denominación de objeto
GACTO;HROBJID;N;000008;ID objeto
GACTOT;STEXT;C;000040;Denominación de objeto
CALIF;HROBJID;N;000008;ID objeto
CALIFT;STEXT;C;000040;Denominación de objeto
MCALI;HROBJID;N;000008;ID objeto
MCALIT;STEXT;C;000040;Denominación de objeto
